name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img,rdkit_mol,rdkit_svg,indigo_mol,indigo_svg,MolWt,LogP,MR,TPSA,# H acceptors,# H donors,# Rotatable bonds,# Atoms,# Bonds,# C atoms,# O atoms,# H atoms,# Atoms (no H),# Bonds (no H)
g_{49},49,O,[H][O][H],O,True,False,'g_{713}',images/mod_mol0.svg,<rdkit.Chem.rdchem.Mol object at 0x7f2a0bc0d3f0>,images/rdkit_mol0.svg,<indigo.IndigoObject object at 0x7f2a0bc6bb00>,images/indigo_mol0.svg,18.015,-0.8247,3.6138,31.5,0.0,0.0,0.0,3,2,0,1,2,1.0,0.0
g_{50},50,[H+],[H+],[H+],True,False,'g_{714}',images/mod_mol1.svg,<rdkit.Chem.rdchem.Mol object at 0x7f2a0bc0d850>,images/rdkit_mol1.svg,<indigo.IndigoObject object at 0x7f2a0bc6be80>,images/indigo_mol1.svg,1.008,0.1125,1.112,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,0.0
g_{46},46,[H-],[H-],[H-],True,False,'g_{715}',images/mod_mol2.svg,<rdkit.Chem.rdchem.Mol object at 0x7f2a0bc0db70>,images/rdkit_mol2.svg,<indigo.IndigoObject object at 0x7f2a0bc6bc88>,images/indigo_mol2.svg,1.008,0.1125,1.112,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,0.0
g_{33},33,,[AG][S][C](=[O])[C]([H])([H])[H],[AG][S][C](=[O])[C]([H])([H])[H],False,False,'g_{716}',images/mod_mol3.svg,,,,,,,,,,,,8,7,2,1,3,,
g_{27},27,,[AE][S][C](=[O])[C]([C](=[O])[O][H])([H])[H],[AE][S][C](=[O])[C]([C](=[O])[O][H])([H])[H],False,False,'g_{717}',images/mod_mol4.svg,,,,,,,,,,,,11,10,3,3,3,,
"p_{0,0}",56,,[AG][S][C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[AG][S][C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{718}',images/mod_mol5.svg,,,,,,,,,,,,13,12,4,2,5,,
"p_{0,1}",57,,[AE][S][H],[AE][S][H],False,True,'g_{719}',images/mod_mol6.svg,,,,,,,,,,,,3,2,0,0,1,,
"p_{0,2}",58,O=C=O,[C](=[O])=[O],O=C=O,True,True,'g_{720}',images/mod_mol7.svg,<rdkit.Chem.rdchem.Mol object at 0x7f2a0bc0dc10>,images/rdkit_mol7.svg,<indigo.IndigoObject object at 0x7f2a0bc6ba90>,images/indigo_mol7.svg,44.009,-0.5835,5.007,34.14,2.0,0.0,0.0,3,2,1,2,0,3.0,2.0
"p_{0,3}",59,,[H][O][C]([C]([H])([H])[C]([S][AG])=[O])([C]([H])([H])[H])[H],[H][O][C]([C]([H])([H])[C]([S][AG])=[O])([C]([H])([H])[H])[H],False,True,'g_{721}',images/mod_mol8.svg,,,,,,,,,,,,15,14,4,2,7,,
"p_{0,4}",62,,[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([H])[H],[H][C](=[C]([H])[C]([S][AG])=[O])[C]([H])([H])[H],False,True,'g_{722}',images/mod_mol9.svg,,,,,,,,,,,,12,11,4,1,5,,
"p_{0,5}",65,,[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([H])[H],[H][C]([H])([C]([H])([C]([S][AG])=[O])[H])[C]([H])([H])[H],False,True,'g_{723}',images/mod_mol10.svg,,,,,,,,,,,,14,13,4,1,7,,
"p_{0,6}",68,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{724}',images/mod_mol11.svg,,,,,,,,,,,,18,17,6,3,7,,
"p_{0,7}",71,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{725}',images/mod_mol12.svg,,,,,,,,,,,,20,19,6,3,9,,
"p_{0,8}",74,,[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[H],[C]([S][AG])(=[O])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{726}',images/mod_mol13.svg,,,,,,,,,,,,17,16,6,2,7,,
