name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img
g_{49},49,O,[H][O][H],O,True,False,'g_{203}',images/mod_mol0.svg
g_{50},50,[H+],[H+],[H+],True,False,'g_{204}',images/mod_mol1.svg
g_{46},46,[H-],[H-],[H-],True,False,'g_{205}',images/mod_mol2.svg
g_{34},34,,[AG][S][C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],[AG][S][C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],False,False,'g_{206}',images/mod_mol3.svg
g_{26},26,,[AE][S][C](=[O])[C]([C]([H])([H])[H])([C](=[O])[O][H])[H],[AE][S][C](=[O])[C]([C]([H])([H])[H])([C](=[O])[O][H])[H],False,False,'g_{207}',images/mod_mol4.svg
"p_{1,0}",146,,[AE][S][H],[AE][S][H],False,True,'g_{208}',images/mod_mol5.svg
"p_{1,1}",147,,[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],[C]([S][AG])(=[O])[C]([C]([H])([H])[H])([H])[C](=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],False,True,'g_{209}',images/mod_mol6.svg
"p_{1,2}",148,O=C=O,[C](=[O])=[O],O=C=O,True,True,'g_{210}',images/mod_mol7.svg
"p_{1,3}",149,,[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],[H][O][C]([C]([C]([H])([H])[H])([H])[C]([S][AG])=[O])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],False,True,'g_{211}',images/mod_mol8.svg
"p_{1,4}",152,,[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],[H][C](=[C]([C]([H])([H])[H])[C]([S][AG])=[O])[C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H],False,True,'g_{212}',images/mod_mol9.svg
"p_{1,5}",153,,[H][C]([C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],[H][C]([C]([H])([H])[H])([C]([S][AG])=[O])[C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H],False,True,'g_{213}',images/mod_mol10.svg
g_{31},31,,[AE][S][C](=[O])[C]([O][C]([H])([H])[H])([C](=[O])[O][H])[H],[AE][S][C](=[O])[C]([O][C]([H])([H])[H])([C](=[O])[O][H])[H],False,False,'g_{214}',images/mod_mol11.svg
"p_{1,6}",156,,[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],[C]([S][AG])(=[O])[C]([O][C]([H])([H])[H])([H])[C](=[O])[C]([C]([H])([H])[H])([C]([H])([C]1:[C](:[C](:[C](:[C](:[C](:1)[H])[O][H])[H])[N]([H])[H])[H])[H])[H],False,True,'g_{215}',images/mod_mol12.svg
